,StartDate,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q3_4_TEXT,Q22,Q22_7_TEXT,Q4,Q5,Q6,Q6_5_TEXT,Q7,Q9,Q9_7_TEXT,Q20,Q20_5_TEXT,Q10,Q11,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q24_1,Q15
1159,2024-11-12 08:25:51,,I have completed:,,I have completed:,Fourth Year,,Other - Please describe:,My area does not hire very far in advance so I can't really start until spring,No,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Handshake,Personal Contact/Direct Correspondence - Faculty",,,,Yes,Remote/Online,"Learned more about the industry,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Could not consider unpaid internships",,Cognitive Science; Global Development Studies,Social Justice/Human Rights work
1160,2024-11-12 08:26:56,,I have completed:,I would like to complete:,,Fourth Year,,I am applying to graduate or professional school,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I can't identify a suitable internship focus,,,,,,,,psychology,physcian 
1161,2024-11-12 08:28:02,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Career Services - Handshake,,,,Yes,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,economics,public service 
1162,2024-11-12 08:25:26,I would like to complete:,I would like to complete:,I have completed:,I have completed:,Third Year,,,,No,School of Education and Human Development,I have completed an internship,,2,"Previous Employment (Internship),Personal Contact/Direct Correspondence - Alumni",,,,No,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,I did not face any barriers,,Kinesiology,sports marketing
1163,2024-11-12 08:27:13,I would like to complete:,,,I have completed:,Third Year,,,,Yes,McIntire School of Commerce,I have accepted an offer for an internship I will be completing,,,"Advertisement - Social Media, Website, Listserv",,,,Yes,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Finance,Banking (Asset and Wealth management)
1164,2024-11-12 08:27:11,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact/Direct Correspondence - Faculty,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Computer Science (BA) in the College of Arts & Sciences,Software Engineering
1165,2024-11-12 08:28:03,"I have completed:,I would like to complete:",,,,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,I did not face any barriers,,Chinese,Foreign Diplomacy
1166,2024-11-12 08:26:19,I have completed:,I have completed:,,,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,"Personal Contact /Direct Correspondence - Family & Friends,Personal Contact/Direct Correspondence - Other",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Could not consider unpaid internships",,Politics ,Lawyer
1167,2024-11-12 08:28:26,,I have completed:,I have completed:,I have completed:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Lack of networking connections,,Biology,Physician
1168,2024-11-12 08:27:52,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections",,Computer science,Software engineering
1169,2024-11-12 08:27:57,I have completed:,I would like to complete:,,,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Computer Science (BA) in the College of Arts & Sciences,web development 
1170,2024-11-12 08:27:55,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections",,History,Law
1171,2024-11-12 08:27:51,I have completed:,I have completed:,,I have completed:,Fourth Year,,I am applying to graduate or professional school,,No,College of Arts and Sciences,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections,Did not have confidence in interviews,Did not have the proper skills",,Behavioral Neuroscience,Biostatistics 
1172,2024-11-12 08:27:43,,I would like to complete:,,,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,School of Architecture,I have completed an internship,,3+,"Career Services - Handshake,Career Services - Other",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Could not consider unpaid internships",,Urban Planning,Real Estate Development
1173,2024-11-12 08:27:19,I have completed:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,"Previous Employment (Internship),Personal Contact /Direct Correspondence - Family & Friends",,,,No,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections",,Global Commerce in Culture and Society,Law
1174,2024-11-12 08:28:03,I would like to complete:,I would like to complete:,I would like to complete:,I have completed:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Could not consider unpaid internships",,global public health and environmental thought and practice,lawyer
1175,2024-11-12 08:28:37,I would like to complete:,,,,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,I did not face any barriers,,Economics,Business
1176,2024-11-12 08:27:04,,,,I have completed:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,College of Arts and Sciences,I have completed an internship,,2,Career Services - Handshake,,,,Yes,Remote/Online,"Learned more about the industry,Developed relevant skills",,"Lack of networking connections,Did not have confidence in interviews",,Computer Science (BA) in the College of Arts & Sciences,Software Developer
1177,2024-11-12 08:26:56,,,,,Fourth Year,,It has been hard to find job opportunities in my area of interest,,No,College of Arts and Sciences,I have completed an internship,,2,Personal Contact /Direct Correspondence - Family & Friends,,,,No,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do",,"Difficult to find opportunities in my field,Lack of networking connections",,"Media Studies and Women, Gender & Sexuality","unsure; documentary production, working with a non-profit, creative writer "
1178,2024-11-12 08:28:28,I would like to complete:,I have completed:,I would like to complete:,I have completed:,Second Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Career Services - Other,,,,Yes,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Applied Statistics,data scientist 
1179,2024-11-12 08:28:15,,I would like to complete:,I have completed:,I have completed:,Second Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Other - Please describe:,UVA Health,,,Yes,,,,I did not face any barriers,,Biology,Medicine
1180,2024-11-12 08:28:19,,,,,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,College of Arts and Sciences,I have completed an internship,,2,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,I did not face any barriers,,Economics,Law
1181,2024-11-12 08:29:00,,I would like to complete:,I would like to complete:,I have completed:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Could not consider unpaid internships",,Biochemistry,Physician
1182,2024-11-12 08:28:38,I have completed:,,I have completed:,,Fourth Year,,I am applying to graduate or professional school,,No,College of Arts and Sciences,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,Figured out what I want to do,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Interdisciplinary - Cognitive Science,nursing
1183,2024-11-12 08:27:32,I would like to complete:,I have completed:,,I would like to complete:,Fourth Year,,I have accepted a job,,No,School of Engineering and Applied Science,I have completed an internship,,3+,"Career Services - Handshake,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,I did not face any barriers,,Systems engineering ,Consulting
1184,2024-11-12 08:29:11,,I would like to complete:,I have completed:,I have completed:,Second Year,,,,No,School of Education and Human Development,I have no current plans to seek an internship,,,,,I need to work and can't afford to take off time for an internship,,,,,,,,Kinesiology,medical school
1185,2024-11-12 08:28:56,I would like to complete:,I would like to complete:,,,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Mechanical Engineering,anything within the field
1186,2024-11-12 08:29:16,I would like to complete:,I would like to complete:,I would like to complete:,I have completed:,Third Year,,,,No,School of Education and Human Development,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Lack of networking connections,,Kinesiology,Physical Therapist
1187,2024-11-12 08:28:59,I would like to complete:,,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search",,Economics,Anything Econ related
1188,2024-11-12 08:28:18,,I have completed:,,I have completed:,Fourth Year,,I have accepted a job,,No,School of Engineering and Applied Science,I have no current plans to seek an internship,,,,,I am a Fourth Year and I am focused on my plans for after graduation,,,,,,,,Chemical Engineering,"Nuclear Energy, Chemical manufacturing, Oil and Gas, Process Safety"
1189,2024-11-12 08:29:06,,,,,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,College of Arts and Sciences,I have completed an internship,,3+,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills",,Did not have confidence in interviews,,Psychology,Marketing
1190,2024-11-12 08:28:53,,I have completed:,I would like to complete:,I would like to complete:,Second Year,,,,No,School of Education and Human Development,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"I did not face any barriers,Difficult to find opportunities in my field,Lack of networking connections,Did not have confidence in interviews",,"Youth and Social Innovation, Pre Batten","Pscyhologist, Policy work"
1191,2024-11-12 08:28:36,I would like to complete:,,,I would like to complete:,Third Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,Outside Virginia,"Learned more about the industry,Figured out what I don't want to do",,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Mechanical Engineering,automotive engineering or manufacturing 
1192,2024-11-12 08:29:26,I would like to complete:,,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,"Foreign Affairs, economics","Federal Gov (Hill, agency, State Dept.)"
1193,2024-11-12 08:29:46,I would like to complete:,I would like to complete:,I would like to complete:,,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact/Direct Correspondence - Other,,,,No,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,I did not face any barriers,,Global Public Health,Pediatric Oncology
1194,2024-11-12 08:30:31,,,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Political and Social Thought ,Law school 
1195,2024-11-12 08:29:22,,I have completed:,,I have completed:,Fourth Year,,I have accepted a job,,Yes,College of Arts and Sciences,I have completed an internship,,2,Career Services - Handshake,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,Did not know how to navigate the internship search,,Applied Statistics and Environmental Science,Environmental Data Analyst
1196,2024-11-12 08:29:51,I have completed:,I have completed:,,I have completed:,Fourth Year,,It has been hard to find job opportunities in my area of interest,,Yes,College of Arts and Sciences,I have completed an internship,,1,Career Services - Other,,,,Yes,Remote/Online,"Learned more about the industry,Made industry connections",,"Difficult to find opportunities in my field,Did not have confidence in interviews",,Computer Science (BA) in the College of Arts & Sciences,Software Engineer
1197,2024-11-12 08:30:31,I have completed:,I would like to complete:,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Computer science,software 
1198,2024-11-12 08:29:18,I would like to complete:,I would like to complete:,,I have completed:,Fourth Year,,It has been hard to find job opportunities in my area of interest,,No,College of Arts and Sciences,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Computer Science (BA) in the College of Arts & Sciences,SDE
1199,2024-11-12 08:29:59,I would like to complete:,I have completed:,I have completed:,I have completed:,Fourth Year,,I am applying to graduate or professional school,,No,School of Education and Human Development,I have completed an internship,,3+,Career Services - Handshake,,,,No,In Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,I did not face any barriers,,Youth and Social Innovation ,"Public Policy Research, Pre-Law"
1200,2024-11-12 08:30:43,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,3+,"Career Services - Career Fair,Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,No,Remote/Online,"Learned more about the industry,Figured out what I want to do,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Mechanical Engineering,Aerospace and Mechanical Engineering
1201,2024-11-12 08:30:20,I would like to complete:,I have completed:,,,Third Year,,,,Yes,School of Engineering and Applied Science,I have accepted an offer for an internship I will be completing,,,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,,,,I did not face any barriers,,Electrical engineering,Renewable energy sector
1202,2024-11-12 08:30:04,,,,I have completed:,Fourth Year,,I am applying to graduate or professional school,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Could not consider unpaid internships,,Government,Legislator
1203,2024-11-12 08:29:04,I would like to complete:,I would like to complete:,,,Second Year,,,,Yes,College of Arts and Sciences,I have completed an internship,,3+,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,"Difficult to find opportunities in my field,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Economics and Computer science,investment banking
1204,2024-11-12 08:30:09,,I have completed:,I would like to complete:,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Career Services - Handshake,,,,Yes,,,,"Difficult to find opportunities in my field,Lack of networking connections,Could not consider unpaid internships",,Behavioral Neuroscience,Post-Bacc Research Program
1205,2024-11-12 08:31:12,I have completed:,,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Commerce,Consulting
1206,2024-11-12 08:31:00,I would like to complete:,I have completed:,I would like to complete:,I have completed:,Third Year,,,,No,College of Arts and Sciences,Other - Please describe:,I am looking for internships but am having trouble finding one,,,,,,,,,,,,Psychology,clinical or school psychologist
1207,2024-11-12 08:31:10,,I would like to complete:,I would like to complete:,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,Not relevant to my career path,,,,,,,,Interdisciplinary - Cognitive Science,dentistry
1208,2024-11-12 08:30:15,I have completed:,,,,Fourth Year,,I have accepted a job,,No,College of Arts and Sciences,I have completed an internship,,2,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Economics,"Valuations, Wealth Management, Private Equity"
1209,2024-11-12 08:30:14,I would like to complete:,I have completed:,,,Fourth Year,,I have been interviewing,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Advertisement - Social Media, Website, Listserv",,,,Yes,In Virginia,Developed relevant skills,,Lack of networking connections,,Aero,Aero
1210,2024-11-12 08:30:53,I would like to complete:,I would like to complete:,,I have completed:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,School of Engineering and Applied Science,Other - Please describe:,Was unable to get an internship and am now looking for full time jobs as I am graduating May 2025,,,,,,,,,,,,Computer Science,Software Engineering
1211,2024-11-12 08:29:33,,I have completed:,,,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Biochemistry,"Research, graduate school "
1212,2024-11-12 08:30:05,,,,,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,Did not know how to navigate the internship search,,Media Studies ,"Private Weath Management, Marketing "
1213,2024-11-12 08:31:28,I have completed:,I would like to complete:,,I would like to complete:,Third Year,,,,No,Batten School of Leadership and Public Policy,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,Outside Virginia,Developed relevant skills,,I did not face any barriers,,Public Policy and Leadership,Policy
1214,2024-11-12 08:32:06,I would like to complete:,I have completed:,I would like to complete:,I have completed:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections",,Computer Science (BA) in the College of Arts & Sciences,Software Engineering
1215,2024-11-12 08:31:12,I would like to complete:,I would like to complete:,,I would like to complete:,Other: (please describe),Batten Double-Accelerated MPP Student,,,No,Batten School of Leadership and Public Policy,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,I did not face any barriers,,Foreign Affairs and Double-Accelerated MPP,National Security
1216,2024-11-12 08:32:04,I would like to complete:,I would like to complete:,,,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,Personal Contact/Direct Correspondence - Other,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,"Did not know how to navigate the internship search,Could not consider unpaid internships",,Government,Politics/Campaigns
1217,2024-11-12 08:31:53,,I have completed:,I have completed:,I have completed:,Fourth Year,,I am applying to graduate or professional school,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,Not relevant to my career path,,,,,,,,Biology,Veterinary School
1218,2024-11-12 08:32:00,I have completed:,,,,Fourth Year,,I have accepted a job,,No,McIntire School of Commerce,I have completed an internship,,3+,"Career Services - Handshake,Career Services - Other,Previous Employment (Internship)",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do",,I did not face any barriers,,Commerce,CPA
1219,2024-11-12 08:32:23,I would like to complete:,I have completed:,I have completed:,I would like to complete:,Third Year,,,,No,School of Education and Human Development,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Lack of networking connections,,Biology and Kinesiology,Doctor
1220,2024-11-12 08:33:08,I would like to complete:,,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Career Services - Handshake,,,,No,,,,I did not face any barriers,,Economics,Law
1221,2024-11-12 08:32:13,I have completed:,I have completed:,,I have completed:,Fourth Year,,I have been interviewing,,No,College of Arts and Sciences,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills",,Lack of networking connections,,Biology,Law
1222,2024-11-12 08:32:34,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Other - Please describe:,Forge Launch Program,,,Yes,Remote/Online,"Learned more about the industry,Developed relevant skills,Figured out what I want to do",,"Did not know how to navigate the internship search,Did not have confidence in interviews,Could not consider unpaid internships",,Applied Statistics,Data Analytics
1223,2024-11-12 08:31:47,,,,,Third Year,,,,Yes,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I can't identify a suitable internship focus,,,,,,,,Anthropology ,Uncertain 
1224,2024-11-12 08:33:16,,I have completed:,,I have completed:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,College of Arts and Sciences,I have completed an internship,,3+,"Career Services - Handshake,Career Services - Career Fair",,,,No,Outside Virginia,Learned more about the industry,,Did not know how to navigate the internship search,,American Studies and HIstory,Law
1225,2024-11-12 08:33:02,I have completed:,I have completed:,I would like to complete:,I would like to complete:,Fourth Year,,I am applying to graduate or professional school,,No,McIntire School of Commerce,I have no current plans to seek an internship,,,,,I am a Fourth Year and I am focused on my plans for after graduation,,,,,,,,Psychology and Commerce,Counseling Psychology & Clinical Psychology
1226,2024-11-12 08:32:21,I would like to complete:,I would like to complete:,I have completed:,I would like to complete:,Fourth Year,,I have accepted a job,,No,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Handshake,Career Services - Career Fair,Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills",,"Lack of networking connections,Did not know how to navigate the internship search,Did not have the proper skills",,Computer Science,Software Engineering
1227,2024-11-12 08:31:56,,I have completed:,I have completed:,,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,Remote/Online,"Learned more about the industry,Developed relevant skills,Made industry connections",,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Biology ,Biotech
1228,2024-11-12 08:32:34,I have completed:,,,I have completed:,Fourth Year,,I have accepted a job,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Career Services - Career Fair,Previous Employment (Internship)",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,Did not have the proper skills,,Civil Engineering,Unknown
1229,2024-11-12 08:33:15,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Computer Science (BA) in the College of Arts & Sciences,Healthcare Technology 
1230,2024-11-12 08:32:26,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Biology,MD
1231,2024-11-12 08:32:39,I have completed:,,I would like to complete:,,Third Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,Not relevant to my career path,,,,,,,,Spanish,"TESOL, Speech-Language Pathology"
1232,2024-11-12 08:32:55,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Previous Employment (Internship),Personal Contact/Direct Correspondence - Faculty",,,,Yes,In Virginia,"Learned more about the industry,Figured out what I want to do",,"Did not have confidence in interviews,Did not have the proper skills",,Computer Science (BS) in Engineering,Data Engineer
1233,2024-11-12 08:33:26,,,,,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,3+,"Career Services - Handshake,Online Resources - LinkedIn, Indeed, Glassdoor, Other,Advertisement - Social Media, Website, Listserv",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do",,Lack of networking connections,,Economics,Venture Capital
1234,2024-11-12 08:33:17,,I have completed:,,I have completed:,Fourth Year,,I have been interviewing,,Yes,College of Arts and Sciences,I have completed an internship,,3+,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Previous Employment (Internship)",,,,Yes,Outside Virginia,Made industry connections,,Did not have confidence in interviews,,american studies and foreign affairs,law school
1235,2024-11-12 08:33:41,I would like to complete:,I have completed:,,I have completed:,Second Year,,,,No,School of Data Science,I have completed an internship,,1,Previous Employment (Internship),,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,Difficult to find opportunities in my field,,Data Science,Data Science
1236,2024-11-12 08:33:17,,,,,Fourth Year,,I have accepted a job,,No,School of Engineering and Applied Science,I have completed an internship,,2,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Did not know how to navigate the internship search,Did not have the proper skills",,Computer Science (BS) in Engineering,Software engineer 
1237,2024-11-12 08:32:27,I would like to complete:,I have completed:,,I have completed:,Fourth Year,,I have been interviewing,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Previous Employment (Internship),Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,"Did not know how to navigate the internship search,Other - Please describe:",Wanting to get an internship after 2nd year was hard bc a lot of companies I was interested in didn’t want to take rising 3rd years. ,Systems Engineering,Operations Engineering
1238,2024-11-12 08:33:58,I would like to complete:,I have completed:,I have completed:,,Fourth Year,,I am applying to graduate or professional school,,Yes,School of Education and Human Development,I have no current plans to seek an internship,,,,,Not relevant to my career path,,,,,,,,Kinesiology ,Physician assistant 
1239,2024-11-12 08:34:12,,,,I have completed:,Fourth Year,,I have accepted a job,,No,McIntire School of Commerce,I have completed an internship,,1,Personal Contact/Direct Correspondence - Faculty,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Lack of networking connections,Did not know how to navigate the internship search",,Commerce,Investment Banking / Finance
1240,2024-11-12 08:34:08,I would like to complete:,I would like to complete:,,,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Mechanical Engineering,"Defense, Energy"
1241,2024-11-12 08:34:38,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have the proper skills",,Computer Science (BS) in Engineering,Software Engineer
1242,2024-11-12 08:34:00,,I have completed:,,,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact/Direct Correspondence - Faculty,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do",,I did not face any barriers,,Neuroscience ,Law
1243,2024-11-12 08:33:37,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not have the proper skills,Could not consider unpaid internships",,Electrical Engineering,Power Industry
